z,mu,sigma_mu
0.24583,40.23445,0.13085
0.13679,39.114850000000004,0.11075
0.32529,41.2551,0.1809
0.10643,38.44035,0.10245
0.4008,41.65585,0.1602
0.1891,39.8364,0.13035
0.19731,39.7852,0.1122
0.12783,38.9116,0.132
0.12291,38.79025,0.1033
0.12687,38.943250000000006,0.10365
0.21311,40.02635,0.1429
0.21075,40.077,0.12695
0.26826,40.838300000000004,0.15275
0.20431,40.01435,0.12435
0.26991,40.63590000000001,0.12695
0.24162,40.33075,0.15175
0.2908,40.586,0.14645
0.35306,41.16675,0.1515
0.28509,40.95225000000001,0.15435
0.21929,40.0219,0.1534
0.17537,39.59765,0.1249
0.23517,40.3429,0.1458
0.15298,39.34965,0.1096
0.20982,40.25475,0.1584
0.29121,40.86945,0.1501
0.31353,41.1725,0.14945
0.13672,39.0902,0.1138
0.29532,41.1208,0.1925
0.30369,40.84625,0.135
0.20532,40.08155,0.1351
0.12175,38.69125,0.09805
0.17424,39.5869,0.11045
0.24862,40.552800000000005,0.13995
0.2453,40.465900000000005,0.14105
0.13816,39.1995,0.1169
0.24288,40.37795,0.1175
0.24237,40.53455,0.15195
0.31437,40.7118,0.137
0.2754,40.798500000000004,0.153
0.30004,40.7704,0.15885
0.21735,40.24395,0.15665
0.20311,39.9234,0.12555
0.19005,39.7561,0.1552
0.29003,40.7214,0.15315
0.22796,40.18435,0.15045
0.31032,40.80975,0.15795
0.13712,39.47265,0.11415
0.08798,38.0296,0.1066
0.08534,37.97285,0.1057
0.19024,39.998599999999996,0.11825
0.09278,38.2076,0.109
0.12891,38.93985,0.12795
0.26136,40.5168,0.15835
0.26132,40.8059,0.17885
0.1957,39.967150000000004,0.12925
0.14723,39.189750000000004,0.1218
0.21154,40.49485,0.1818
0.17972,39.65175,0.11325
0.1907,40.0428,0.11925
0.3385,41.139700000000005,0.1618
0.11762,38.76925,0.10595
0.28854,40.8795,0.1639
0.26377,40.617900000000006,0.15695
0.24931,40.73165,0.1409
0.22939,40.2294,0.1271
0.08575,37.958,0.10035
0.27631,40.97545,0.19055
0.36165,41.5244,0.1645
0.30006,40.975350000000006,0.16525
0.11659,38.73465,0.1036
0.15474,39.18105,0.1045
0.2501,40.6482,0.13225
0.25149,40.559,0.1266
0.12941,38.8971,0.1075
0.30894,41.07385,0.1693
0.29859,41.01705,0.1633
0.27057,40.691900000000004,0.169
0.29318,40.92975,0.1437
0.18988,39.81505,0.1185
0.12368,38.752300000000005,0.1022
0.31262,40.980850000000004,0.14295
0.3088,41.18605,0.15525
0.20244,39.952650000000006,0.13765
0.21139,39.9747,0.1276
0.1787,39.7525,0.1152
0.30317,41.222,0.13765
0.21432,40.1717,0.1308
0.32007,41.0456,0.1358
0.21791,40.281800000000004,0.14225
0.07523,37.6488,0.10185
0.2574,40.72115,0.15
0.18446,39.7147,0.13065
0.11639,38.64475,0.10185
